"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000152894",4900.8667898464,1.68614699418174,0.0515194324871494,32.7283689431617,6.16855737052029e-235,1.5152033087788e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05720920160738,0.0629971348959243,32.6555994174345,6.67308222714741e-234,1.61226042399506e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.2711746423729,0.0390166121818881,32.5803438916461,7.7872068069352e-233,1.85109441807437e-230,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470629e-233,2.28548149972034e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865898177923,0.0429215380121903,32.3534301446708,1.24147570949195e-229,2.85888578226443e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707468894012,0.0417356858171826,-32.0367249934982,3.36062024213731e-225,7.61981863517227e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256291270895,0.0759039072961416,31.7844363834428,1.06221030279148e-221,2.37194779432438e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461054550758,0.04493788279858,-31.7017726868209,1.46868611703091e-220,3.23067104370173e-218,"CALM2","805","calmodulin 2"
"ENSG00000148175",3890.72249473237,1.382759192647,0.0437559459798461,31.6016294855994,3.50658774018404e-219,7.60001325218124e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016290665304,0.0943627138373998,31.5819965901815,6.52409592660792e-219,1.3935090690775e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640454108309,0.137009602937998,31.577381791559,7.54875111789645e-219,1.58933562822226e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922375420591,0.0474271120613705,31.4002622018997,2.00677238464017e-216,4.16560724011645e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66976053980988,0.0850711599543874,-31.3826747071666,3.48749624663564e-216,7.13871106707168e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188916050816,0.0364245960966486,31.3493980133172,9.91452475859106e-216,2.00164747797418e-213,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084112276771,0.043301965121134,-30.7339659769432,2.00284014697934e-207,3.98889974137588e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488818414653,0.0685958596542847,30.685353237862,8.92651941888194e-207,1.75412057593976e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562524285741,0.0934222863988972,30.6738932787587,1.26921860316573e-206,2.4612820754548e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025714160972,0.0625663263116865,-30.5317133707579,9.89031724071917e-205,1.89303240900934e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43611245564618,0.112968839119009,-30.4164624726855,3.32784807407545e-203,6.28792627124666e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564267365e-202,7.33899351161067e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021939174999,0.0574946964080526,30.2674768364592,3.07275008882816e-201,5.66077385114368e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451431060219,0.0645318879154186,-30.1326115416126,1.81266227077667e-199,3.29815019095143e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.5828781947048,0.0526794769999666,-30.0473407263668,2.36513705726309e-198,4.25090121340773e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311418254662,0.109372674933985,-30.0176820629855,5.76926963476084e-198,1.02442766116994e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007247230185,0.0507699096288577,-29.9404210764606,5.86347811749715e-197,1.02876119637706e-194,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36366438559029,0.112741755253384,-29.835125220736,1.36909046746707e-195,2.37384180112115e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740356529565,0.0515781131734262,29.8072858952068,3.14332240010582e-195,5.38677738753018e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000171617",3172.76514957676,1.72303983041144,0.0580213440334105,29.6966548968472,8.48156951764851e-194,1.43679737415062e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000116729",14027.992136521,1.67569487817407,0.0564402665213231,29.689705266381,1.04279079240921e-193,1.74643757937805e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000173546",2782.7113944163,-1.70835978426991,0.0576022154266012,-29.6578833230254,2.68383930194376e-193,4.44431726202777e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132787729677,0.0470089047863683,29.5971132197112,1.62771285793081e-192,2.66547023335381e-190,"INHBA","3624","inhibin beta A subunit"
"ENSG00000133818",917.65645300902,-2.58023129485175,0.0872082084224483,-29.5870233035033,2.19481455244336e-192,3.55463482130882e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95676915967054,0.066366377413006,29.4843448738106,4.5706646129175e-191,7.32200598534545e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273151798681,0.0557903369241131,-29.4447319832695,1.47048225724257e-190,2.3303190868001e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.3559280010631,0.0460638771412865,-29.4358201091978,1.91221156883014e-190,2.99810362781049e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.333577786577,-3.10048678678621,0.105332133520476,-29.4353364273542,1.93966312403675e-190,3.00913211811091e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42015084169462,0.0824299363647746,29.360095960584,1.77603014283683e-189,2.72657627553429e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119411465475,0.0593373131938385,29.3439999375562,2.85017093297189e-189,4.33049682578759e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240027320717,0.0659466594001125,29.1508363076218,8.1525875938907e-187,1.22604934651797e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664197997472,0.0635813717888152,29.0437580697114,1.84508226804488e-185,2.7467497440854e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764298454313,0.0520685452448963,-28.9549665244567,2.43000076279334e-184,3.58133512420482e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825247777174,0.0673335092703116,-28.9343671358408,4.4142767515374e-184,6.4413476004117e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313090933769,0.0486537997410686,-28.8390817737778,6.94506711792148e-183,1.00349410964634e-180,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098831106599,0.041019926010761,-28.790600713326,2.81257119935477e-182,4.02443440156219e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633975700006,0.0644840585863618,28.7875763048306,3.06876085060864e-182,4.3487882131029e-180,"MCC","4163","mutated in colorectal cancers"
"ENSG00000145147",601.510428483162,-2.6863096950869,0.0934082246307621,-28.7588133240487,7.02780161781995e-182,9.86435621366003e-180,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375787326369,0.0561671850992999,-28.7313289852549,1.55004190235251e-181,2.15514316574257e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000088448",1041.5088322989,2.36777454932971,0.082424769393535,28.7264928582915,1.78137681378796e-181,2.45363845622495e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108829",3850.57518186778,-1.47517536746798,0.0513592996409492,-28.7226534976308,1.98934192205204e-181,2.71471493029657e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000108932",593.620514665934,3.86329380847242,0.135019430653551,28.6128729011259,4.64691284129895e-180,6.28313774817101e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519570958258,0.0428729355985989,-28.5773692068482,1.28413972335609e-179,1.72051374934745e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280690789144,0.0890070378345855,-28.4562543537121,4.07776954600655e-178,5.41424933054455e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.2837925369885,0.045158037797863,28.4288822011052,8.89104401472998e-178,1.16996613115259e-175,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607112429008,0.0531050546522476,28.3602217181098,6.26172160939733e-177,8.16683655569007e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089185904247,0.0724370087673856,28.312762963866,2.40693795248533e-176,3.11170627576568e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257766154912,0.0556334938704772,28.2667427864643,8.86293106981419e-176,1.13584241832106e-173,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000117399",548.054729960495,-3.23340676085343,0.114620387627825,-28.2097001045954,4.44638469394974e-175,5.64920841546822e-173,"CDC20","991","cell division cycle 20"
"ENSG00000147065",17820.4971549208,-1.03012494634449,0.0365495052577412,-28.1843745648597,9.08925044107757e-175,1.14493481197095e-172,"MSN","4478","moesin"
"ENSG00000135926",1251.33626199858,-1.85342978946653,0.0659032266017304,-28.1235060108251,5.05487719368716e-174,6.31345593903062e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852052772906,0.0552431018673825,28.0310206231082,6.80590561393772e-173,8.42902831413563e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964810642455,0.0590541857433073,-27.9344823006303,1.01762306177803e-171,1.24981072370705e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534522397535,0.0951995167527843,27.8924233499083,3.29690131890215e-171,4.0156803006595e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381556336812,0.0844210127795028,27.881868339059,4.42694479247297e-171,5.34789445503825e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570139758907,0.0461507511473725,-27.8587317784592,8.4431933544173e-171,1.01167303786506e-168,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83419949230011,0.101897084066557,27.8143336314596,2.91030196601146e-170,3.4590347076675e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110380543532,0.0682253647168491,-27.7184858341737,4.18063856739022e-169,4.92914009649577e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206877247207,0.0770650451002773,27.6658343571695,1.80003917220032e-168,2.10547439046733e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794353067084,0.0823952713098191,27.6465323125815,3.07198958951907e-168,3.56495925750647e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088802919421,0.102898337231547,27.5115041249307,1.27887828605914e-166,1.47250845155778e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938252975961,0.0574996726924257,-27.4676786111107,4.2730116716351e-166,4.88183302453939e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.7422999845481,0.0634898167274268,-27.4421958410765,8.60955351404302e-166,9.76058459153585e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41301695774408,0.124574412971679,27.3974155392568,2.94404169595367e-165,3.31215927595154e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230299264544,0.102014167018331,-27.3717178138963,5.956245619771e-165,6.65023848062007e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750992448181,0.0744503129867431,-27.3673788966424,6.70834765122088e-165,7.43365621681905e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923981488081,0.121655551451236,-27.3661150285879,6.94475491610572e-165,7.63819387713179e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606708918426,0.0550849852415319,-27.3407913713798,1.38959786728615e-164,1.51702913837505e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263395695109,0.0744753440494526,27.2927098611507,5.17686927765351e-164,5.61005142750422e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117036,27.2855920323935,6.2883588625435e-164,6.76480532234789e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000089685",509.548185635596,-3.09766264789606,0.114554736416602,-27.0408954251422,4.88750821253724e-161,5.21971710408506e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000136378",1190.06353560081,2.13136870334988,0.0788220284615281,27.0402671049016,4.97137232248492e-161,5.2710852725743e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000111206",489.63700653501,-3.02314581435926,0.111893366459449,-27.0180968722115,9.05898588309908e-161,9.53652385322244e-159,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.7444418953957,0.064941806496613,-26.8616164147925,6.17149255796274e-159,6.45074165384787e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000075426",1241.54577193998,-2.02417497030608,0.0753956186570736,-26.8473819349206,9.0496776817199e-159,9.39254575163295e-157,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000167553",3002.80270522025,-1.43654697902246,0.0535201405731388,-26.8412407672832,1.06740194185286e-158,1.10009579154038e-156,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000113319",1375.65463563177,1.72034855369273,0.0641457029567033,26.819388897397,1.92001376007411e-158,1.96508074972029e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860119538807,0.0510829134654634,-26.7917607384192,4.03073553157575e-158,4.09689519064575e-156,"TMSB4X","7114","thymosin beta 4, X-linked"
"ENSG00000147883",1092.60954361111,2.17983077219239,0.0813788299066265,26.786214236473,4.67739118621162e-158,4.7216021439991e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902873353545,0.0775709630071588,-26.6727220254375,9.756912634895e-157,9.78213458592398e-155,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579734033865,0.0580466695446008,-26.6302503221294,3.03106512163965e-156,3.01836741640035e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049902468707,0.10220023661274,-26.6193026049017,4.05846425744851e-156,4.01433867290444e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150543,26.5933696049238,8.099146713847e-156,7.95768161791181e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647156950031,0.0383375249715396,-26.5137504378517,6.72839038082704e-155,6.56708724719397e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975954572217,0.0415443875825686,26.4719161772794,2.04139531908354e-154,1.97934764556929e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99317177097659,0.113299889459733,-26.4181349624385,8.4816675892511e-154,8.17011875361979e-152,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.80821512707718,0.106381153344706,26.397675140612,1.45702338101604e-153,1.39439029801392e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000091409",2615.20252718009,-1.3448810643132,0.0509585862918191,-26.3916478493265,1.70866367678623e-153,1.62466356570809e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000169439",2385.18491369971,1.32446359248525,0.050228015006268,26.3690211990256,3.10640296885282e-153,2.93475429198416e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995032192099,0.0652290534384967,26.3678565187628,3.20342419548854e-153,3.00713794860574e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884374449989,0.0638889001041227,26.277549648903,3.46314473233447e-152,3.23036880159149e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330133481251,0.038226581067339,-26.2461697279471,7.90474795050105e-152,7.32705504996758e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50770994601108,0.134055092131976,26.1661820541495,6.45008277295291e-151,5.94133249423625e-149,"RIPOR3","140876","RIPOR family member 3"
